开单日期,单据编号,收银员,总金额,应收金额,会员卡号,收现金,银行卡,购物券,储值卡,一卡通,微信,抹零金额,仓库,班次,POS机,业务员,支付宝
2018-11-24 09:09:13,4201811240001                 ,贺宝山,7,7,,0,0,0,0,7,0,0,南超,早班,pos4,,0
2018-11-24 11:58:50,4201811240002                 ,贺宝山,2.7,2.7,,0,0,0,0,2.7,0,0,南超,早班,pos4,,0
2018-11-24 13:29:12,4201811240003                 ,贺宝山,7.8,7.8,,0,0,0,0,7.8,0,0,南超,午班,pos4,,0
2018-11-24 16:55:12,5201811240715                 ,何明明,4,4,,0,0,0,0,4,0,0,南超,午班,pos5,,0
2018-11-24 20:18:52,4201811240007                 ,李璟璇,19.7,19.7,,0,0,0,0,19.7,0,0,南超,晚班,pos4,,0
2018-11-25 15:02:29,4201811250008                 ,蔡润炳,1,1,,0,0,0,0,1,0,0,南超,午班,pos4,,0
2018-11-25 16:55:17,5201811250610                 ,何明明,5,5,,0,0,0,0,5,0,0,南超,午班,pos5,,0
2018-11-25 20:24:30,4201811250012                 ,何明明,16.5,16.5,,0,0,0,0,16.5,0,0,南超,晚班,pos4,,0
2018-11-26 08:56:06,5201811260053                 ,武全,8.1,8.1,,0,0,0,0,8.1,0,0,南超,早班,pos5,,0
2018-11-26 12:42:41,4201811260012                 ,何明明,5.2,5.2,,0,0,0,0,5.2,0,0,南超,午班,pos4,,0
2018-11-26 13:29:04,4201811260013                 ,何明明,13,13,,0,0,0,0,13,0,0,南超,午班,pos4,,0
2018-11-26 15:30:32,4201811260015                 ,何明明,4.2,4.2,,0,0,0,0,4.2,0,0,南超,午班,pos4,,0
2018-11-26 16:44:22,5201811260717                 ,何明明,2.5,2.5,,0,0,0,0,2.5,0,0,南超,午班,pos5,,0
2018-11-26 21:11:15,4201811260025                 ,何明明,9.8,9.8,,0,0,0,0,9.8,0,0,南超,晚班,pos4,,0
2018-11-27 09:27:58,4201811270003                 ,李璟璇,5,5,,0,0,0,0,5,0,0,南超,早班,pos4,,0
2018-11-27 10:46:02,4201811270004                 ,李璟璇,2.5,2.5,,0,0,0,0,2.5,0,0,南超,早班,pos4,,0
2018-11-27 14:22:58,4201811270016                 ,贺宝山,2,2,,0,0,0,0,2,0,0,南超,午班,pos4,,0
2018-11-27 19:20:30,5201811271123                 ,何明明,7.3,7.3,,0,0,0,0,7.3,0,0,南超,晚班,pos5,,0
2018-11-28 15:57:14,4201811280017                 ,周国刚,3,3,,0,0,0,0,3,0,0,南超,午班,pos4,,0
2018-11-28 16:34:10,4201811280022                 ,周国刚,6.2,6.2,,0,0,0,0,6.2,0,0,南超,午班,pos4,,0
2018-11-29 08:18:44,4201811290003                 ,王凯,8,8,,0,0,0,0,8,0,0,南超,早班,pos4,,0
